Learning Standard,Category,Sub-Category,State Standard,,,
W.K.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,
W.K.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",,,
W.K.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,
W.K.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,
W.1.1,Writing,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure.",,,
W.1.10,Writing,Range of Writing,(Begins in grade 3),,,
W.1.11,Writing Standards,Responding to Literature,"Create and present a poem, dramatization, art work, or personal response to a particular author or theme studied in class, with support as needed.",,,
W.1.2,Writing,Text Types and Purposes,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.",,,
W.1.3,Writing,Text Types and Purposes,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",,,
W.1.4,Writing,Production and Distribution of Writing,(Begins in grade 3),,,
W.1.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.",,,
W.1.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,
W.1.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions).",,,
W.1.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,
W.1.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,
W.2.1,Writing,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or book they are writing about, state an opinion, supply reasons that support the opinion, use linking words (e.g., because, and, also) to connect opinion and reasons, and provide a concluding statement or section.",,,
W.2.10,Writing,Range of Writing,(Begins in grade 3),,,
W.2.2,Writing,Text Types and Purposes,"Write informative/explanatory texts in which they introduce a topic, use facts and definitions to develop points, and provide a concluding statement or section.",,,
W.2.3,Writing,Text Types and Purposes,"Write narratives in which they recount a well-elaborated event or short sequence of events, include details to describe actions, thoughts, and feelings, use temporal words to signal event order, and provide a sense of closure.",,,
W.2.4,Writing,Production and Distribution of Writing,(Begins in grade 3),,,
W.2.5,Writing,Production and Distribution of Writing,"With guidance and support from adults and peers, focus on a topic and strengthen writing as needed by revising and editing.",,,
W.2.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,
W.2.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., read a number of books on a single topic to produce a report; record science observations).",,,
W.2.8,Writing,Research to Build and Present Knowledge,Recall information from experiences or gather information from provided sources to answer a question.,,,
W.2.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,
W.3.1,Writing,Text Types and Purposes,"Write opinion pieces on topics or texts, supporting a point of view with reasons.",,,
W.3.1.a,Writing,Text Types and Purposes,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons.",,,
W.3.1.b,Writing,Text Types and Purposes,Provide reasons that support the opinion.,,,
W.3.1.c,Writing,Text Types and Purposes,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",,,
W.3.1.d,Writing,Text Types and Purposes,Provide a concluding statement or section.,"25 an hour gets a 10% raise, she will make an additional 1/10 of her salary an hour, or \","2.50, for a new salary of \","27.50. If you want to place a towel bar 9 3/4 inches long in the center of a door that is 27 1/2 inches wide, you will need to place the bar about 9 inches from each edge; this estimate can be used as a check on the exact computation."
W.3.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,
W.3.11,Writing Standards,Responding to Literature,"Create and present a poem, narrative, play, art work, or personal response to a particular author or theme studied in class.",,,
W.3.2,Writing,Text Types and Purposes,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,50 per week plus \,3 per sale. This week you want your pay to be at least \,"100. Write an inequality for the number of sales you need to make, and describe the solutions."
W.3.2.a,Writing,Text Types and Purposes,Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.,,,
W.3.2.b,Writing,Text Types and Purposes,"Develop the topic with facts, definitions, and details.",,,
W.3.2.c,Writing,Text Types and Purposes,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information.",,,
W.3.2.d,Writing,Text Types and Purposes,Provide a concluding statement or section.,,,
W.3.3,Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,,
W.3.3.a,Writing,Text Types and Purposes,Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.,,,
W.3.3.b,Writing,Text Types and Purposes,"Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations.",,,
W.3.3.c,Writing,Text Types and Purposes,Use temporal words and phrases to signal event order.,,,
